%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_soil recession_b_karst et_scale       neg_kge        
100      I1         2.026528753    2.572877885    4.48176922     0.06244660579  0.9224487796   4.884283603    0.8428209705   0.08116993474  5.65305641     4.436690194    1.556021653    0.8326668594   
101      I1         2.438002296    2.684915637    3.857231003    0.152770079    0.136307493    3.661604156    1.017395017    0.02809264832  3.102132179    5.746745163    1.16695158     0.7292117396   
102      I1         2.592783879    3.325932068    4.68562436     0.3579996258   0.1628758786   9.053510048    1.889784482    0.04019933409  5.508398482    3.494972981    1.003702699    0.7399764927   
103      I1         2.621550885    3.212217461    4.290803523    0.5852573008   0.1117894441   4.217818408    2.554685489    0.08232010274  2.659571241    4.884602957    0.9488036637   0.5970783055   
104      I1         2.264016217    2.641480856    4.493175617    0.3857637516   0.3027026087   2.418285222    0.4844247353   0.08609194018  4.995490024    2.045823492    0.6387348858   0.4383122856   
105      I1         1.419191177    3.020067921    4.262113436    0.594645732    0.4874712745   4.286154237    0.04464897761  0.06275296592  3.490337983    4.07179139     0.5864975126   0.8091749549   
106      I1         2.637686949    3.233603688    4.960211141    0.9315443773   0.3617422335   6.266903658    1.136251669    0.06816205034  5.0821098      4.761515003    1.889703985    1.561954196    
107      I1         2.374256652    4.390829881    4.601083691    0.05814758281  0.7449829453   2.681876318    1.319112818    0.01309764807  3.544403062    4.389889014    1.639742029    1.184732919    
108      I1         2.451218561    3.05196134     3.971744774    0.2944660222   0.4967438265   9.391928479    0.1171709464   0.04656691204  2.049903531    1.995966006    1.053194475    0.7438848473   
109      I1         1.035159175    3.240139305    3.521473891    0.78766895     0.842247825    4.058018758    2.877065513    0.1321908595   4.159471897    3.496673342    1.819833443    0.830696279    
110      I1         1.715064302    4.112137624    4.329993795    0.3745234011   0.9883526835   7.027733153    1.195107604    0.01993415349  3.007570036    1.832707578    1.317534265    0.5269911967   
111      I1         1.776181637    3.06099713     4.93669399     0.4984778558   0.9379771955   8.584118857    2.692178152    0.02911006152  2.488267407    4.632685639    1.389771786    0.7848760754   
112      I1         1.682175143    3.742420556    3.579251762    0.6968460319   0.6802152624   8.415995466    0.1593154956   0.06383720263  5.566216052    5.587715618    1.347396788    0.8035935858   
113      I1         2.49550917     3.728736281    4.661036285    0.128473036    0.04071712417  7.516776562    2.646035071    0.09780723046  4.148890761    2.864132839    1.683469497    1.501077999    
114      I1         1.674412891    4.416630332    4.269759336    0.8700867974   0.7807575394   0.9572361427   2.583776224    0.002236963628 5.777505406    2.306880517    1.196142128    0.7212290803   
115      I1         1.236901997    2.937303238    3.854733149    0.6022610977   0.871363053    7.465637508    0.2547379616   0.1157870359   2.06416036     2.484285992    1.041146238    0.3524550794   
116      I1         1.38476364     3.77796477     4.489426441    0.4751500174   0.3533398499   2.389447736    0.6641101064   0.1096532556   3.395682738    3.640942773    1.872443475    0.8163970998   
117      I1         1.073465582    4.125273371    4.955519155    0.2257529178   0.2682707875   0.6063780837   1.504993468    0.1223930743   3.847291274    2.628863637    1.446380805    1.011436085    
118      I1         2.430353726    4.320539252    3.938568019    0.5574533339   0.8689908005   1.544169539    0.9829655613   0.1125936828   1.559756235    5.926941125    0.5511314562   1.157964829    
119      I1         1.877159204    3.009794435    4.634652322    0.5279734897   0.3741075441   4.447244152    1.418766504    0.08411302455  2.087481661    1.773921268    1.821879654    1.073755452    
120      I1         1.168907969    3.488369412    3.872017079    0.6238800601   0.07719894133  7.407846489    0.6841918299   0.06642380585  1.719024565    3.720948788    1.285590585    0.3160517722   
121      I1         1.506686259    2.512574508    4.817131835    0.876164382    0.4931008605   3.411606954    2.073993922    0.02977245737  2.347485654    3.871082211    1.70901143     0.9130292061   
122      I1         1.817992494    3.443673481    3.747536637    0.9264071911   0.4273640679   0.8342739093   1.649026708    0.07457881763  2.965042814    4.922650893    0.8385150862   0.3977500595   
123      I1         1.076284249    3.043160622    4.552598493    0.1603838599   0.6568343862   3.812652926    1.735634008    0.06893497004  2.582206204    5.39987661     0.9547702602   0.3421717691   
124      I1         1.644514978    4.395976659    4.741142893    0.06864317479  0.4161493205   5.787673809    0.4188999556   0.1236859556   3.743609105    3.798240311    0.8788273996   0.6089960306   
125      I1         2.164084269    4.061261418    3.584733611    0.3091048798   0.7594634673   8.861973182    0.9454382972   0.1371336349   3.892796916    2.811277729    1.076781035    0.5929270653   
126      I1         2.351440729    2.907100784    4.442445636    0.7390744977   0.1013074441   2.908796736    1.918177791    0.001495616575 5.299175597    5.897757076    1.497412719    0.906004216    
127      I1         2.095449208    3.517767781    4.028535478    0.4313628953   0.6425564559   1.059934205    0.3667146442   0.07121320291  3.024569319    4.007165096    1.806720105    0.9591582778   
128      I1         1.608026369    4.015786552    4.453330652    0.3419970723   0.4473012554   8.935380853    0.07806310046  0.0871281042   5.928084829    2.642288116    1.527419039    0.8080342368   
129      I1         2.458476031    4.365189906    4.79764427     0.8012678524   0.7991067335   2.28079469     2.728388239    0.1390121954   3.145733948    3.929533704    1.877874859    1.458084468    
130      I1         2.615915018    2.824876514    3.880135308    0.03961106068  0.8994223175   1.63161365     1.602576732    0.1491522456   2.984085797    5.975583042    1.48883497     1.123890467    
131      I1         1.028558637    4.220899615    3.723050679    0.2482968935   0.8178788364   4.126543821    0.5141239158   0.03091458979  3.270780935    5.530091453    0.6806351529   0.7812463546   
132      I1         1.411379407    4.126800681    4.53924672     0.7860742005   0.1250539843   6.440097854    0.2219254966   0.04826357544  3.452529536    5.44813831     1.310192419    0.6336832431   
133      I1         1.499907384    3.34712382     4.508984196    0.9169635703   0.9170078746   9.082364385    2.20444443     0.1423598877   3.528690487    2.284993595    1.523326515    0.6741477315   
134      I1         2.541418893    2.662490803    4.30351576     0.6251937004   0.964709477    7.21046598     2.632297919    0.06185146696  3.047953305    2.14358905     1.852964695    1.106252547    
135      I1         2.536356129    2.761778064    3.825885202    0.1241161824   0.5280954635   0.1383557627   1.758918474    0.03432551924  5.768707337    3.755626623    1.988351237    1.288706573    
136      I1         2.669316018    2.690692715    4.775180653    0.2137834302   0.1659209448   6.001678038    0.8795571241   0.06084452873  5.088818629    4.096972353    0.9383308394   0.7495661741   
