%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_karst et_scale       neg_kge        
92       I1         1.781726666    3.214191618    3.515108736    0.179527658    0.9077946181   0.9572361427   2.145187741    0.009319734087 5.013937771    1.93757588     1.180572519    
93       I1         1.300299416    4.263533686    3.920320274    0.5574533339   0.4692989556   2.456995337    0.7993175579   0.1000505528   3.320786891    0.7367252021   0.6097944643   
94       I1         2.34120002     3.878690569    4.992183092    0.7000810092   0.3148766168   1.113506027    2.245727868    0.1321908595   5.39292235     1.489429154    1.480447749    
95       I1         2.536356129    3.141666179    4.588538233    0.4895793974   0.949165208    5.162715657    2.975139923    0.06316804598  2.750673602    0.6004592647   0.8558903352   
96       I1         1.36095806     3.28918967     4.591197194    0.7300191398   0.6483402606   5.044471134    1.649026708    0.01648820856  4.187414912    1.492909636    0.535057239    
97       I1         1.531302643    3.480112307    4.305896388    0.7660642874   0.5895334026   2.271706462    1.211480416    0.03186250395  4.801398561    1.391813673    0.4512323785   
98       I1         1.812249205    2.857393439    4.218159995    0.1493129      0.5642428646   5.682692331    2.408380679    0.09548019567  4.223201616    1.714084563    0.9462105729   
99       I1         2.274434238    2.758630195    4.210760386    0.03961106068  0.2417438303   3.783799195    2.231213606    0.0987405002   5.478477097    1.186177039    1.076471972    
100      I1         2.089904313    2.865786394    4.176258382    0.2863724592   0.3475140804   1.447753494    0.5485266905   0.1468897017   3.600174747    0.892917386    0.5978206836   
101      I1         1.274491319    3.801300663    4.30351576     0.5837991308   0.9713532722   2.118319626    0.8428209705   0.04955140944  4.694907446    1.999582383    0.5668736217   
102      I1         2.073481817    4.444794709    4.356626615    0.03765811168  0.1311815475   0.8712048423   2.488280796    0.06383720263  2.347485654    1.449149711    1.306982561    
103      I1         2.550647614    3.49614958     4.470651024    0.2421199327   0.2156810159   6.165109595    2.379123475    0.04019933409  3.007570036    1.606680755    1.32530986     
104      I1         1.035159175    3.212217461    4.634652322    0.2934147745   0.1479898162   3.91128993     2.736910765    0.03613948145  3.966759405    1.365657451    0.6881307494   
105      I1         2.059382799    4.300621351    4.424680728    0.8314936832   0.06031807634  1.941395209    2.877065513    0.02010144627  3.252519926    1.545452884    0.9422291744   
106      I1         2.198235502    3.379469036    4.021335936    0.8439753187   0.356885533    8.158161341    0.6145947086   0.02342939592  2.06416036     1.107140793    0.4834030261   
107      I1         1.201486251    3.937053065    4.153210517    0.5763089343   0.7193760053   0.6063780837   1.195107604    0.07844437726  2.436043053    1.665262047    0.468908974    
108      I1         1.817992494    4.217247809    4.644001528    0.1569038732   0.367962828    4.063302564    1.221526973    0.07457881763  3.299659451    1.633079901    1.077934406    
