%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor baseflow_Q     neg_kge        
162      I1         0.4433185135   1.522818988    4.446948188    0.4961993767   0.06335144982  8.893932136    0.2027227708   0.2853792812   
163      I1         1.101323509    1.527044211    4.105667461    0.4393065005   0.09428000369  0.6281363281   0.1717770877   0.24253951     
164      I1         1.857817526    1.952210491    2.965447787    0.8130420474   0.3027026087   6.165109595    0.2106068414   0.2533884372   
165      I1         1.722002096    2.436423644    3.024145158    0.7558619954   0.4692989556   6.983470842    0.02547379616  0.7018505643   
166      I1         0.6729906473   1.469167139    2.544647477    0.1586357021   0.191096213    9.767570232    0.005528211635 0.8025855171   
167      I1         0.9481382881   1.022174469    4.077979364    0.2212320219   0.7841465648   8.050056009    0.062291815    0.7831341984   
168      I1         1.107474017    1.061946202    4.244486286    0.4751500174   0.1013074441   0.4714102173   0.1059015923   0.1429333344   
169      I1         0.9931211435   1.833095461    3.056453917    0.4033144509   0.6961344583   0.701920532    0.06552940158  0.5567864031   
170      I1         0.6098356177   1.975972814    3.481052509    0.2053694139   0.5735897937   3.783799195    0.2877065513   0.3760769351   
171      I1         1.708819711    1.816862121    2.955537223    0.5440634302   0.6483402606   5.774861325    0.1773047415   0.2023730911   
172      I1         0.6263816946   2.141465459    4.251926883    0.4094759667   0.5475262182   4.286154237    0.2736910765   0.2384054764   
173      I1         1.636678545    1.138117183    3.168104999    0.307045893    0.3850713039   3.302655049    0.04252164516  0.3088198098   
174      I1         0.6296351808   1.749257324    3.526345781    0.4686115266   0.8469582789   3.486612735    0.07993175579  0.6933295399   
175      I1         0.7999073836   1.926213285    3.282973026    0.5353698492   0.2999623596   5.484717207    0.08428209705  0.6045346659   
176      I1         0.5212860984   1.629118409    3.195114581    0.9485655461   0.4067010932   0.2008739061   0.05066924989  1.294238974    
177      I1         1.005887567    1.675837711    3.711363838    0.8847277457   0.6889461185   1.323055332    0.2245727868   0.185758978    
178      I1         1.205255055    1.042055073    2.808007965    0.02456168552  0.1250539843   4.727184153    0.1997856989   0.4815361126   
179      I1         1.892783879    2.559012186    2.908180833    0.1911231965   0.2176088771   5.133200276    0.2111441234   0.5894400939   
180      I1         0.4057035626   1.664203842    4.23019236     0.09506460568  0.5565208168   9.035347113    0.2746068637   0.4651322683   
181      I1         0.9989670997   1.887784017    3.665054857    0.5617577824   0.3617422335   4.78116836     0.1625273246   0.2044365061   
182      I1         1.069000019    2.37031698     4.028099965    0.01128075689  0.8857831008   8.13962312     0.2756828917   0.5721240671   
183      I1         0.9870801418   1.899072277    2.621126085    0.8055794563   0.2682707875   9.082364385    0.2544492742   0.1526369565   
184      I1         1.751218561    1.034365161    4.284302384    0.668142229    0.8629435835   2.35856479     0.01171709464  1.146401502    
185      I1         1.771193562    1.914040856    3.888104274    0.3140481537   0.5611679837   5.736727176    0.06006704941  0.2360055962   
186      I1         1.531535246    2.081967787    4.154857191    0.2099069187   0.6208331469   1.63161365     0.0529926467   0.2763683882   
187      I1         0.5303073602   1.386281804    2.976308004    0.5035474146   0.5424318474   8.334224322    0.1602576732   0.3602773596   
188      I1         0.787877155    2.129963821    4.374703127    0.1033801179   0.4617170534   4.058018758    0.2189518444   0.5615159766   
189      I1         1.901462023    1.580142564    3.469245654    0.152770079    0.1505513559   3.042521913    0.2603075954   0.6840386437   
190      I1         0.5783994492   1.727952704    3.014647514    0.5763089343   0.1177522271   1.149210547    0.2583776224   0.1744548503   
191      I1         0.8789505393   2.447268904    3.34417956     0.5788593947   0.03575032858  6.766951214    0.1702158785   0.251829455    
192      I1         0.4792202012   1.1350667      3.03564899     0.9197970148   0.949165208    5.877084206    0.2987872678   0.2477683294   
