Date,Precipitation [mm/day],Discharge [m^3/s],Mean Temperature [C],Minimum Temperature [C],Maximum Temperature [C],Photoperiod [hr],Evapotranspiration [mm/day]
1998.04.18,1.12319264579,70.225664,8.775693066415,2.26752476483,15.283861368,13.541001267298117,2.54757922963
1998.04.19,4.17917420132,69.37616,10.797079211425,5.83613860725,15.7580198156,13.588849772252262,2.75301319861
1998.04.20,3.57308976053,67.393984,10.267871292515,4.68772276793,15.8480198171,13.636469020411017,2.97340526645
1998.04.21,5.52180751745,66.261312,8.82148515383,2.79009900766,14.8528713,13.68384802684962,2.66898902277
1998.04.22,0.0,61.730624,10.296584129045,2.38099009389,18.2121781642,13.730975459009986,2.81735416239
1998.04.23,0.0,58.332608,12.444207910275,3.92633661185,20.9620792087,13.777839629085967,2.86335240796
1998.04.24,0.0,52.102911999999996,14.54301975386,5.88861383542,23.1974256723,13.824428487062148,2.88166112889
1998.04.25,0.87772261521,50.403904,16.896039622825,8.09722771975,25.6948515259,13.870729614458096,4.26400334493
1998.04.26,6.4121914264,49.271232,13.02965343116,6.88554453142,19.1737623309,13.916730218832578,3.67775544651
1998.04.27,0.0510109091307,48.13856,9.135247582,1.4288118707,16.8416832933,13.962417129104436,2.47674757058
1998.04.28,0.0103045223963,46.439552,8.68534656743,1.03445544466,16.3362376902,14.007776791749173,2.48181353318
1998.04.29,0.0,43.607872,10.77925744621,2.64178217992,18.9167327125,14.052795267932142,2.87412546813
1998.04.30,0.0,42.4752,11.696485135805,4.62990098661,18.763069285,14.097458231641236,2.7736915651
1998.05.01,0.188865890404,40.776192,14.65450489875,6.3218811715,22.987128626,14.141750968883299,3.65475823425
1998.05.02,3.06111104447,38.510848,15.809603974395,6.78702971959,24.8321782292,14.185658378009977,4.95216562737
1998.05.03,3.57264882138,38.22768,11.546881187065,6.80782176953,16.2859406046,14.229164971239497,2.98738455354
1998.05.04,0.311085552254,36.245504,15.54683166213,8.01613862916,23.0775246951,14.272254877441483,3.53206352472
1998.05.05,0.419453267921,35.396,16.89797030107,6.57831684434,27.2176237578,14.314911846252054,3.77571942862
1998.05.06,0.0,32.847488,14.989356397409999,6.52158415672,23.4571286381,14.35711925358606,3.94983495894
