%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__routing_K neg_kge        
78       I1         1.876269462    1.684763754    3.910475407    0.7300191398   0.3380955784   2.681876318    -0.8361457401  1.036797985    
79       I1         1.645442561    1.266991593    3.805383155    0.6702249147   0.6568343862   9.301918015    -0.3322114622  1.592249789    
80       I1         0.7461268417   2.391765973    4.08921173     0.8802523054   0.2025505396   5.190489881    -0.5720244722  2.761792848    
81       I1         0.8884118105   2.232347639    4.166435226    0.8392264346   0.3475140804   1.813236371    -0.720733363   2.569739351    
82       I1         0.7357388406   1.558553607    3.764382356    0.1205591682   0.2484786123   3.013930012    0.9987244791   0.35972848     
83       I1         0.869678216    1.368306792    3.59973603     0.8644663599   0.9527122088   7.717283805    -0.1135967229  2.582096526    
84       I1         1.389904313    1.353113064    3.190784844    0.2810816412   0.836560833    6.01519677     -0.147780093   1.710621293    
85       I1         1.987353195    2.324481988    2.872825091    0.78766895     0.8689908005   6.52304944     0.6193321227   0.9884948994   
86       I1         1.832347989    2.095049203    3.681351124    0.9795582233   0.7855111937   2.118319626    -0.4735727511  1.642360056    
87       I1         1.82491466     1.563813263    2.767248125    0.2749906241   0.979447786    8.24717916     -0.4499928954  1.427821933    
88       I1         1.69721588     1.919140271    3.674383694    0.1717771929   0.2935083771   2.715362389    -0.7386266805  0.3928153143   
89       I1         1.860860465    1.618783662    2.983373812    0.2934147745   0.2536875913   3.558779445    0.1475569988   0.4916066231   
90       I1         1.382954783    1.408394001    3.984371269    0.2729217598   0.714725534    7.21046598     0.4863035048   1.340387963    
91       I1         0.3285586371   1.57146601     3.831236871    0.2421199327   0.5895334026   0.3973248431   0.9292423174   1.286648206    
92       I1         1.738002296    2.512240563    3.809025626    0.6421091236   0.172586491    3.372111183    0.8488510346   0.5086042718   
93       I1         1.326528753    1.880140909    4.037871506    0.5496203686   0.4123488404   5.870925088    -0.8520496689  1.438834462    
94       I1         1.085592975    2.619524521    4.064944398    0.6318941159   0.3414620436   6.48335404     -0.998703009   1.919574455    
95       I1         1.492923017    2.407301197    4.20024087     0.3438077843   0.2087928288   0.3257977483   0.3826626143   0.2895707322   
96       I1         1.564016217    2.499003633    2.57275019     0.1094647061   0.4387943063   0.241138325    -0.9037674621  0.4957163982   
97       I1         0.3131261282   1.67081122     3.667595332    0.4984778558   0.1289259313   9.65776003     -0.8923376442  2.491850094    
98       I1         1.221021649    1.950323918    3.45754666     0.3203010297   0.739563675    5.939641469    0.961406437    0.9741087796   
99       I1         1.712625696    2.298393316    3.847275111    0.6396962211   0.9466801024   6.124559585    0.1255788217   1.252501859    
100      I1         1.052531105    1.502985028    4.012869763    0.5227558373   0.03002443055  9.391928479    0.6522046487   1.058566125    
101      I1         0.5144262091   2.007974284    4.393020831    0.07736213041  0.3251547208   5.371052394    0.7548652792   0.4277410189   
102      I1         1.315604476    2.126531714    2.674299496    0.465210757    0.356885533    5.308717337    0.7791822013   0.9980846228   
103      I1         1.395449208    2.035421557    3.91705676     0.4342557839   0.5953864639   6.399624598    0.3570077152   0.9995552533   
104      I1         1.931563387    1.794869922    3.771107536    0.7218329044   0.7516442785   3.506294406    0.8189254928   0.9827428629   
