%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__fdd_threshold snow_insulation_k neg_kge        
159      I1         1.574434238    2.590534515    3.006847077    0.7909367982   0.06335144982  4.247479126    1.831177562    0.1176652344   1.583036483    
160      I1         0.3107108767   1.124789684    4.105667461    0.1822568941   0.3355639597   3.302655049    0.5886212789   0.03576297756  2.45315979     
161      I1         1.428226823    1.648557062    2.941309496    0.8202279181   0.1177522271   0.5511667692   0.3805505836   0.09689002209  1.916323423    
162      I1         0.3902345162   2.530528148    3.151201792    0.2482968935   0.2999623596   1.040583558    2.488280796    0.1304707609   1.104136711    
163      I1         0.9241843732   2.607205399    3.447680515    0.3374150785   0.279182846    6.763594913    0.03178298601  0.05090217145  1.877834759    
164      I1         0.5744913194   2.644110444    2.702744019    0.4156345467   0.3741075441   0.9747690129   0.4252164516   0.06963530766  2.302003268    
165      I1         0.5303073602   2.000874494    3.260898568    0.6350235686   0.6425564559   0.6281363281   0.2219254966   0.1299034112   2.587807216    
166      I1         1.507471669    1.40414358     4.371764867    0.9033250825   0.3221937678   1.941395209    0.6913817737   0.1325113058   1.942177622    
167      I1         0.6609580598   2.372407311    4.037871506    0.282446083    0.7329755853   1.989780196    0.6006704941   0.09596376834  2.02102098     
168      I1         0.9537959759   2.165513297    3.491418829    0.6318941159   0.949165208    0.3973248431   2.027227708    0.02394938466  2.285844358    
169      I1         1.811396034    1.051939886    3.084757358    0.4631838113   0.1013074441   6.01519677     1.306434248    0.05622920748  0.923589666    
170      I1         1.674256652    1.545416253    4.406230546    0.4686115266   0.5031211313   3.105402687    1.059015923    0.1430553987   1.203452209    
171      I1         0.7357388406   2.133923259    3.326822502    0.5540566055   0.5185026592   7.585434032    2.508652819    0.0184832782   2.277456174    
172      I1         1.254082153    1.686736869    3.123302953    0.8847277457   0.5671904152   5.955674479    1.535236729    0.1351786396   2.217745704    
173      I1         1.80468192     1.181177565    2.666142613    0.2228202545   0.2877460165   8.334224322    2.254110226    0.005664626123 1.015632325    
174      I1         0.6729906473   1.442057733    3.097604414    0.6022610977   0.2602711335   8.24717916     1.997856989    0.0006085640086 2.535816872    
175      I1         0.866175135    2.353332986    4.13262006     0.9795582233   0.2098740821   1.010521473    1.868333832    0.01420292683  2.619846244    
176      I1         0.3052678245   2.578719527    3.100025495    0.6297198519   0.7516442785   9.199591692    1.28403948     0.01041320944  2.791872782    
177      I1         1.101323509    1.511267464    3.391570594    0.1134234945   0.15576903     8.703049179    1.358344629    0.09183180377  0.8636341444   
178      I1         1.870099175    2.637878489    3.128993032    0.2729217598   0.4931008605   3.745943433    1.211480416    0.09201611646  0.5853918252   
179      I1         1.452181115    2.477854227    2.85479035     0.8944457742   0.2340491312   7.283779674    2.668773302    0.003624897103 1.971811263    
180      I1         0.4689079693   1.767639995    4.314317134    0.100521532    0.5760678983   7.027733153    0.7381165165   0.03870169607  2.15080827     
181      I1         1.301021493    1.322749343    4.042251232    0.5146411477   0.2448017307   2.34359497     2.786979858    0.1144436389   1.248750768    
182      I1         0.3540151082   2.288418569    3.885662293    0.507708016    0.1849948652   1.231381987    2.756828917    0.009319734087 2.4056951      
183      I1         1.860860465    1.693992783    3.910475407    0.03232881701  0.4874712745   5.814931171    0.9034729727   0.04656691204  0.3467069402   
184      I1         1.467821931    1.105283673    4.393020831    0.4223373309   0.3997498947   6.315550258    0.1614935338   0.1087267717   1.484905795    
185      I1         1.69721588     1.368306792    3.03283948     0.01761344909  0.2317561964   9.33223508     2.828828885    0.1070734229   0.3597076386   
