%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor baseflow_Q     neg_kge        
226      I1         1.748286095    2.402522684    0.870526132    2.158628529    0.1231680124   0.4525446815   
227      I1         1.296228928    1.47684756     0.8615087911   6.713391891    0.1645488423   0.3710873391   
228      I1         1.467821931    1.201716412    0.7784345942   2.652348399    0.2369836423   0.3188331415   
229      I1         0.8535962471   2.578719527    0.7635570378   1.601523929    0.1509554484   0.4546204881   
230      I1         0.6263816946   1.550618968    0.6901710945   0.6298177523   0.2768128524   0.3679951627   
231      I1         1.915915018    1.522818988    0.1717239359   3.234673667    0.2110609601   0.6504279256   
232      I1         1.868473146    1.425525521    0.7259872373   2.7769461      0.02230199148  0.9869892238   
233      I1         1.608771412    2.318754595    0.9517507719   9.124406446    0.1869897388   0.3530348254   
234      I1         0.408544849    1.327864414    0.3355167219   3.870790833    0.1342152889   0.4961119016   
235      I1         1.381827444    2.148702014    0.101792923    4.609512709    0.2255813986   0.6876861683   
236      I1         1.908649771    2.298393316    0.1557264435   3.272163128    0.2164788993   0.8684708979   
237      I1         0.4689079693   1.880140909    0.4264992985   2.531383436    0.2669505124   0.292125044    
238      I1         1.3490471      2.619524521    0.5576689306   0.3626207292   0.02861048265  0.8359369906   
239      I1         0.519434217    2.309147292    0.6441586688   7.759167438    0.2415632858   0.389828975    
240      I1         1.740831827    2.629135782    0.1643526112   8.788631933    0.2903446706   0.9242392043   
241      I1         1.395449208    1.941346502    0.2826624194   1.462707619    0.1888885612   0.4627015351   
242      I1         0.7675012623   1.850722746    0.6564252747   5.673879639    0.2651009958   0.3076280173   
243      I1         1.730353726    2.037781874    0.2621772818   0.5442024497   0.02580000113  0.8652915192   
244      I1         1.870099175    1.173806576    0.346439444    5.694942135    0.1936397314   0.5128756305   
245      I1         1.406987481    1.090187553    0.3182065859   7.13699363     0.1874416785   0.3711517866   
246      I1         1.303370076    1.57146601     0.7967770558   8.731854044    0.09332957658  0.6053849965   
247      I1         0.6677877611   1.985846631    0.7147995907   5.448511551    0.01262461522  1.52935643     
248      I1         1.559430362    1.400965242    0.01096722084  4.265448546    0.02955522897  1.023543715    
249      I1         1.592116285    1.448917371    0.3886177276   3.947583228    0.2387357021   0.4499138367   
250      I1         1.574434238    1.084743497    0.2710913452   7.017982584    0.02324300246  1.098549203    
251      I1         1.310439953    1.950323918    0.7986998212   6.222284026    0.1571614128   0.3673879949   
252      I1         0.8414926297   1.197083982    0.0765070186   7.597962029    0.2596500653   0.3408841755   
253      I1         1.69721588     2.333158098    0.641496781    7.206321713    0.2954409868   0.5874562369   
254      I1         0.8936899455   1.072841677    0.3828402982   8.573507468    0.08422149886  0.7236761264   
255      I1         0.6881199015   2.201317947    0.400512182    2.073629794    0.2328761416   0.2906820496   
256      I1         1.428226823    2.081967787    0.6842847913   5.596082035    0.2436515761   0.36667385     
257      I1         1.415755904    1.527044211    0.420406943    1.619183891    0.09966243663  0.561222191    
258      I1         1.012847891    1.322749343    0.7347131634   1.840146175    0.05019758737  0.9525711802   
259      I1         0.5303073602   2.282828503    0.8757972593   1.769414299    0.2978657689   0.4820112315   
260      I1         1.538629173    1.597078326    0.3553098455   8.13697614     0.1762402845   0.433216161    
261      I1         0.600299416    2.432352504    0.4810012562   1.929713924    0.1673022909   0.3395159859   
262      I1         1.182398971    1.790683409    0.05017522815  9.665746649    0.1927391008   0.4956963565   
263      I1         1.979905971    1.265502074    0.3102496721   8.093420141    0.2603564173   0.6525130849   
264      I1         1.948251375    1.437335597    0.5696627217   8.618729449    0.08502429076  0.617997595    
265      I1         1.280854117    2.58541142     0.6151645374   4.629631173    0.0766136123   0.5703216807   
266      I1         0.728718011    1.162088808    0.7712621563   0.1386105809   0.1940269468   0.4934151406   
267      I1         1.177159204    1.937680794    0.5488706548   4.031690719    0.03298537564  0.9268495869   
268      I1         1.269443469    1.015258679    0.8990153957   5.530253552    0.1741507529   0.3583924976   
269      I1         1.507471669    1.469167139    0.2380694158   5.911272733    0.2530288264   0.4731183503   
270      I1         1.921550885    1.239487442    0.9822357883   4.52138942     0.1102110806   0.5101389755   
271      I1         0.4360475337   1.919140271    0.9203800255   0.269919655    0.1817009697   0.6731931243   
272      I1         1.076181637    2.013724513    0.6190188693   1.070356368    0.03522060745  0.9493676548   
273      I1         1.216061424    1.236657754    0.9486400733   6.530355773    0.1214391102   0.5252354349   
274      I1         1.092924469    1.591783969    0.8066091071   0.9593261186   0.1360168329   0.4856739015   
275      I1         1.822802265    1.831704451    0.6328426929   2.756046349    0.2690126468   0.5751457589   
276      I1         1.738002296    2.129963821    0.4721197333   1.887791865    0.09891293889  0.5534710647   
277      I1         0.8789505393   1.248939516    0.5129094329   3.510554258    0.1831924024   0.3545589852   
278      I1         0.6957140961   2.086270055    0.3676463919   1.35251921     0.1712635888   0.3040205907   
279      I1         0.7957480231   2.171886984    0.3915069734   7.437018435    0.06296357631  0.6651852233   
280      I1         1.901462023    1.213851171    0.6084472201   9.671817098    0.03116003391  0.8979213885   
281      I1         1.046500615    2.413440626    0.5243620839   0.7145979613   0.2442730482   0.3331997716   
282      I1         0.6847636401   1.186086906    0.06177781765  7.465140334    0.2838588672   0.3488933824   
283      I1         1.452181115    1.024249216    0.3780277471   2.389648818    0.001034197201 1.699372878    
284      I1         0.3107108767   1.90839714     0.9473977662   8.484580848    0.1556640794   0.8296313356   
285      I1         0.8563423004   1.81166574     0.1741324481   1.167673099    0.09103593529  0.5534190502   
286      I1         1.876269462    1.382261558    0.4791978633   6.17371461     0.01464680883  1.091605504    
287      I1         1.389904313    2.660330014    0.1212022547   5.407307661    0.01956589186  0.7723147175   
288      I1         1.266159008    2.262234132    0.3373714494   2.60429237     0.03866555909  0.7260935139   
289      I1         1.937686949    1.767639995    0.9061313741   3.782430276    0.002932819657 1.286537775    
290      I1         0.719191177    1.588301778    0.06535929282  9.402470267    0.2782937442   0.4204783151   
291      I1         0.3131261282   1.276145037    0.9397456248   6.083045783    0.163138056    0.8015966776   
292      I1         0.5783994492   2.600075591    0.1987421265   5.127866693    0.1478880185   0.4701515496   
293      I1         1.674256652    2.572289077    0.9751080515   2.368790368    0.1999537154   0.3471169824   
294      I1         1.701964074    1.899072277    0.5309114694   0.6072840908   0.2345448356   0.5299722324   
295      I1         0.8313026433   2.530528148    0.3028261628   8.048874626    0.03004532978  0.7706001675   
296      I1         0.7603459946   2.208117891    0.526658302    5.805738367    0.2629563675   0.3060279053   
297      I1         0.3949104709   1.206270639    0.7513061837   7.554591966    0.1791999379   0.6174035222   
298      I1         0.7461268417   1.353113064    0.9117041212   5.943912963    0.1517180085   0.5947224262   
299      I1         0.5744913194   2.644110444    0.53496363     2.197027371    0.1051040357   0.5660957949   
300      I1         0.787877155    2.590534515    0.5611412147   4.573291518    0.1827583849   0.3157607179   
301      I1         1.055685109    1.944055784    0.6635573845   3.402263374    0.2232510288   0.2633356101   
302      I1         0.8336305441   1.959602195    0.4995518976   2.299245542    0.2203703704   0.2565053351   
303      I1         1.055944216    2.699870447    0.6483219021   0.1022633745   0.1962277092   0.3229202803   
304      I1         0.3003886603   1.567055327    0.3367413504   4.013374486    0.2530178326   0.2863473651   
