%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor log__fdd_threshold snow_insulation_k baseflow_Q     neg_kge        
81       I1         0.8884118105   2.232347639    0.8265532606   8.476879288    1.033206369    0.02595812684  0.04188999556  1.113677355    
82       I1         0.7357388406   1.558553607    0.6295473542   1.21687323     0.7300365684   0.04415045473  0.2998086719   0.3839683952   
83       I1         0.869678216    1.368306792    0.5488706548   8.731854044    2.8858537      0.115413391    0.1329604916   0.4978097708   
84       I1         1.389904313    1.353113064    0.3484845734   2.838477804    2.530288264    0.08962419349  0.1278329861   0.4771290215   
85       I1         1.987353195    2.324481988    0.1926842945   7.956043475    2.629563675    0.09731893091  0.2428998184   0.9005076498   
86       I1         1.832347989    2.095049203    0.5888620509   9.894516746    2.374013858    0.03058060039  0.07896408734  0.6222144035   
87       I1         1.82491466     1.563813263    0.1409515811   2.7769461      2.967697304    0.1234421085   0.08250106569  0.6913989386   
88       I1         1.69721588     1.919140271    0.5854480101   1.734279805    0.867882787    0.03962670287  0.03920599792  0.8227273186   
89       I1         1.860860465    1.618783662    0.246853168    2.96306762     0.7459824225   0.05240574917  0.1721335498   0.5797296008   
90       I1         1.382954783    1.408394001    0.7373419219   2.756046349    2.157323063    0.107734333    0.2229455257   0.3022453719   
91       I1         0.3285586371   1.57146601     0.6623060668   2.444885035    1.774081845    0.004504921865 0.2893863476   0.5461739452   
92       I1         1.738002296    2.512240563    0.651422557    6.485592167    0.4977137479   0.04957744217  0.2773276552   0.5614142392   
93       I1         1.326528753    1.880140909    0.7635570378   5.551266989    1.231680124    0.0874382589   0.02219254966  1.144300119    
94       I1         1.085592975    2.619524521    0.7768227551   6.382399742    1.014679725    0.09671748546  0.0001945486509 1.870984924    
95       I1         1.492923017    2.407301197    0.8431180264   3.472139862    0.6085494759   0.003421178005 0.2073993922   0.3102459448   
96       I1         1.564016217    2.499003633    0.04564759294  1.104796521    1.312635631    0.002138459469 0.01443488069  0.9883931155   
97       I1         0.3131261282   1.67081122     0.5821217126   5.034623237    0.3640589735   0.1448145459   0.01614935338  1.695971721    
98       I1         1.221021649    1.950323918    0.4791978633   3.234673667    2.233358189    0.0884794162   0.2942109655   0.4142995651   
99       I1         1.712625696    2.298393316    0.6701648046   6.461216928    2.867388069    0.09128120583  0.1688368233   0.4445589555   
100      I1         1.052531105    1.502985028    0.7513061837   5.279880397    0.0612992772   0.1407867951   0.2478306973   0.2995956678   
101      I1         0.5144262091   2.007974284    0.9375802072   0.7804949908   0.9647593495   0.07986443021  0.2632297919   0.5249635536   
